Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-01-02,28.3,28.713,28.114,28.684,143375790
2020-01-03,29.3667,30.2667,29.128,29.534,266920455
2020-01-06,29.3647,30.104,29.3333,30.1027,152362485
2020-01-07,30.76,31.442,30.2237,31.2707,273137070
2020-01-08,31.58,33.2333,31.2153,32.8093,467990895
2020-01-09,33.14,33.2533,31.5247,32.0893,426947790
2020-01-10,32.1193,32.3293,31.58,31.8767,194652480
2020-01-13,32.9,35.0433,32.8,34.99,399518205
2020-01-14,36.2833,36.4933,34.9933,35.86,435920655
2020-01-15,35.3167,35.8567,34.4533,34.5667,260532465
2020-01-16,32.9167,34.2967,32.8113,34.2333,326049795
2020-01-17,33.84,34.3767,33.5433,34.0333,204436095
2020-01-21,35.35,36.5733,35.2267,36.48,267052065
2020-01-22,38.1267,39.6333,37.2733,37.97,470535420
2020-01-23,37.6167,38.8,37.04,38.1467,294765630
2020-01-24,38.0433,38.2567,36.95,37.6533,215304000
2020-01-27,36.1333,37.63,35.9533,37.2,204121020
2020-01-28,37.9,38.4533,37.2067,37.7933,176827395
2020-01-29,38.38,39.32,37.83,38.7333,273250080
2020-01-30,42.16,43.3933,41.2,42.72,435085140
2020-01-31,42.6667,43.5333,42.1667,43.37,235788990
2020-02-03,44.9133,52.41,44.9,52,708502425
2020-02-04,58.8633,64.6,55.5933,59.1367,914081370
2020-02-05,54.8833,56.4,46.94,48.98,726357555
2020-02-06,46.66,53.0567,45.8,49.93,598211280
2020-02-07,48.7033,51.3167,48.6667,49.87,255952815
2020-02-10,53.3333,54.6667,50.16,51.42,370337445
2020-02-11,51.2533,52.2333,50.5333,51.6267,175462095
2020-02-12,51.8567,52.65,50.89,51.1533,180337050
2020-02-13,49.4567,54.5333,49,53.6,394340220
2020-02-14,52.48,54.1967,52.3667,53.3367,235405665
2020-02-18,56.1067,57.3333,55.49,57.2267,250475535
2020-02-19,61.5667,62.9867,60.0667,61.16,381344370
2020-02-20,60.7967,60.8,57.33,59.96,264523395
2020-02-21,60.4667,60.87,58.6967,60.0667,215091690
2020-02-24,55.9333,57.5667,54.8133,55.5867,227882445
2020-02-25,56.6,57.1067,52.4667,53.3267,259357215
2020-02-26,52.1667,54.22,51.74,51.92,212307645
2020-02-27,48.6667,49.3167,44.6,45.2667,364157400
2020-02-28,41.98,46.0333,40.7667,44.5333,368462565
2020-03-02,47.4167,49.58,45.7767,49.5733,302924865
2020-03-03,53.6667,53.8,47.74,49.7,386760045
2020-03-04,50.93,51.1,48.3167,49.9667,225734655
2020-03-05,48.25,49.7167,47.87,48.3033,162789855
2020-03-06,46,47.1333,45.6167,46.9,189943770
2020-03-09,40.36,44.2,40.3333,40.5333,256106100
2020-03-10,43.9633,44.5333,40.5333,43.0233,233916645
2020-03-11,42.68,43.5733,40.8667,42.2833,201203805
2020-03-12,38.7267,39.6333,36.4167,37.37,283635780
2020-03-13,39.6667,40.5033,33.4667,36.44,339603810
2020-03-16,31.3,32.9913,29.478,29.6713,307341960
2020-03-17,29.334,31.4567,26.4,28.68,359918700
2020-03-18,25.9333,26.9907,23.3673,24.0813,356792430
2020-03-19,24.9797,30.1333,23.8973,28.5093,452931900
2020-03-20,29.2133,31.8,28.386,28.502,424282530
2020-03-23,28.9067,29.4667,27.3667,28.9527,246818235
2020-03-24,31.82,34.2467,31.6,33.6667,343427550
2020-03-25,36.35,37.1333,34.0733,35.95,318341175
2020-03-26,36.4933,37.3333,34.15,35.21,261331230
2020-03-27,33.6667,35.0533,32.9353,34.29,215661120
2020-03-30,34.0167,34.4433,32.7487,33.4767,179971005
2020-03-31,33.4167,36.1967,33.1333,34.9333,266572275
2020-04-01,33.6,34.2633,31.6733,32.104,200297700
2020-04-02,32.0687,32.9507,29.76,30.298,297876405
2020-04-03,33.9667,34.3667,31.226,32.0007,338431140
2020-04-06,34.08,34.7333,33.1967,34.4167,223527540
2020-04-07,36.3333,37.6667,35.49,36.3633,268796760
2020-04-08,36.9467,37.1467,35.5567,36.59,189840360
2020-04-09,37.4733,38.3467,37.14,38.2,204750000
2020-04-13,39.3433,43.4667,38.7033,43.3967,337131315
2020-04-14,46.5967,49.46,46.1633,47.3267,458647665
2020-04-15,49.4667,50.21,47.3333,48.6567,353655015
2020-04-16,47.7967,50.63,47.1133,49.68,309867930
2020-04-17,51.4867,51.6633,49.8433,50.26,196923555
2020-04-20,48.8467,51.0367,47.48,49.7567,221198655
2020-04-21,48.6733,50.2233,44.92,45.78,303136395
2020-04-22,46.9333,48.9333,45.9133,48.8067,213372465
2020-04-23,48.5067,48.9333,46.8767,47.0433,198550455
2020-04-24,47.3867,48.7167,46.5467,48.3433,198564180
2020-04-27,49.1733,53.3,49,53.25,310221630
2020-04-28,53.0433,53.6667,50.4467,51.2733,228329460
2020-04-29,52.6767,53.5467,52.21,53.3667,243239730
2020-04-30,57.0133,57.9867,50.9,52.1267,427077810
2020-05-01,50.3333,51.5167,45.5367,46.7533,487977105
2020-05-04,46.7333,50.8,46.5333,50.7467,288556350
2020-05-05,52.6533,53.26,50.8133,51.2133,254874840
2020-05-06,51.7667,52.6533,50.74,52.1733,166848465
2020-05-07,51.8133,53.0933,51.49,52.0033,172915290
2020-05-08,52.9167,54.9333,52.4667,54.6267,241951305
2020-05-11,52.7,54.9333,52.3333,54.0867,247794015
2020-05-12,55.1333,56.22,53.8667,53.96,238603575
2020-05-13,54.7233,55.0667,50.8867,52.73,285982365
2020-05-14,52,53.5567,50.9333,53.5567,205232820
2020-05-15,52.69,53.67,52.4367,53.2767,157776420
2020-05-18,55.1867,55.6467,53.5933,54.2433,175471530
2020-05-19,54.3433,54.8033,53.74,53.8667,144547830
2020-05-20,54.7,55.0667,54.12,54.37,109639065
2020-05-21,54.4,55.5,53.0667,55.1733,183818760
2020-05-22,54.81,55.4533,54.1333,54.46,149812125
2020-05-26,55.6333,55.64,54.38,54.59,121346040
2020-05-27,54.7233,55.18,52.3333,54.6833,173242950
2020-05-28,54.2333,54.9833,53.4467,53.72,109136610
2020-05-29,53.9167,55.6667,53.6133,55.6667,177187335
2020-06-01,57.2,59.9333,56.94,59.8733,226279455
2020-06-02,59.6467,60.5767,58.0667,58.77,203483940
2020-06-03,59.2067,59.8633,58.6733,58.8633,119242035
2020-06-04,59.3267,59.7167,57.23,57.6267,133315695
2020-06-05,58.5233,59.1,57.7467,59.0433,117178755
2020-06-08,61.2667,63.3333,60.61,63.3267,212620905
2020-06-09,62.6667,63.63,61.5967,62.71,170822310
2020-06-10,66.1267,68.5,65.5,68.3367,278451195
2020-06-11,66.0133,67.93,64.8,64.8567,238747230
2020-06-12,65.3333,65.8667,60.84,62.3533,251450610
2020-06-15,61.1867,66.59,60.5667,66.06,235457670
